Артикул;Название;Ссылка;"Краткое описание";"Полное описание";Цена;"Оптовая цена";"Склад 1";"Суммарно на складах";Категория;Изображения
AD502-N;"Кемпинговый рассеиватель TK Fenix   ";http://avantmarket.com/filtr-dlja-kempinga-tk;" 

Фильтр, который предназначен для кемпинга. Фильтр можно установить на фонари моделей TK11, TK12, TK15

 ";"Фильтр, который предназначен для кемпинга. Фильтр можно установить на фонари моделей TK11, TK12, TK15
";300,00;180,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/31/08/831/images/3691/3691.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/31/08/831/images/3692/3692.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/31/08/831/images/3693/3693.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/31/08/831/images/3694/3694.750x0.jpg"
AF02;"Велосипедное крепление Fenix AF02";http://avantmarket.com/velosipednoe-kreplenie-fenix-af02;"
Характеристики и особенности:

Крепление позволяет вращать фонарь на 360°
Высококачественные нескользящие прокладки надежно фиксируют без риска повредить фонарь
Более надежные крепежные винты
Невосприимчиво к дождю, ветру и солнечным лучам
Позволяет закрепить фонарь диаметром 18-30 мм

 ";"
Характеристики и особенности:

Крепление позволяет вращать фонарь на 360°
Высококачественные нескользящие прокладки надежно фиксируют без риска повредить фонарь
Более надежные крепежные винты
Невосприимчиво к дождю, ветру и солнечным лучам
Позволяет закрепить фонарь диаметром 18-30 мм

 ";450,00;315,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3765/3765.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3766/3766.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3767/3767.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3768/3768.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3769/3769.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3770/3770.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/34/08/834/images/3771/3771.750x0.jpg"
AD202;"Сигнальный жезл Fenix TK";http://avantmarket.com/signalnyj-zhezl-fenix-tk;"Насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix.  Совместимость: Fenix TK10, TK11, TK12, TK15, TK20, TA20, TA21.";"Насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix. Диаметр 39.7 ммДлина 180 мм Совместимость: Fenix TK10, TK11, TK12, TK15, TK20, TA20, TA21.
";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/63/11/1163/images/5654/5654.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/63/11/1163/images/6145/6145.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/63/11/1163/images/6146/6146.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/63/11/1163/images/6147/6147.750x0.jpg"
AOF-Sblue;"Фильтр Fenix AOF-S синий";http://avantmarket.com/filtr-fenix-aof-s-siniy;"Окрашивает свет в синий цветСохраняет сумеречное зрение Совместим PD35/PD12/UC40.";"Окрашивает свет в синий цвет Сохраняет сумеречное зрение Совместим PD35/PD12/UC40.";0,00;0,00;0;0;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/53/21/2153/images/7663/7663.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/53/21/2153/images/7974/7974.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/53/21/2153/images/7975/7975.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/53/21/2153/images/7976/7976.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/53/21/2153/images/7977/7977.750x0.jpg"
AOF-Sred;"Фильтр Fenix AOF-S красный";http://avantmarket.com/filtr-fenix-aof-s-krasnyy;"Окрашивает свет в красный цветСохраняет сумеречное зрение Совместим PD35/PD12/UC40.";"Окрашивает свет в красный цвет Сохраняет сумеречное зрение Совместим PD35/PD12/UC40.";0,00;0,00;0;0;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/54/21/2154/images/7664/7664.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/54/21/2154/images/7978/7978.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/54/21/2154/images/7979/7979.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/54/21/2154/images/7980/7980.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/54/21/2154/images/7981/7981.750x0.jpg"
AOF-Sgr;"Фильтр Fenix AOF-S зеленый";http://avantmarket.com/filtr-fenix-aof-s-zelenyy;"Окрашивает свет в зеленый цветСохраняет сумеречное зрение Совместим PD35/PD12/UC40.";"Окрашивает свет в зеленый цвет Сохраняет сумеречное зрение Совместим PD35/PD12/UC40.";0,00;0,00;0;0;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/52/21/2152/images/7662/7662.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/52/21/2152/images/7982/7982.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/52/21/2152/images/7983/7983.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/52/21/2152/images/7984/7984.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/52/21/2152/images/7985/7985.750x0.jpg"
AOD-SOW;"Диффузионный фильтр PD31/PD32 белый Fenix";http://avantmarket.com/diffuzionnyj-filtr-pd31pd32-belyj-fenix;"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями PD31, PD32, E25, E35";"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями PD31, PD32, E25, E35
Размер: 93.5мм (длина) х 27.7мм (диаметр)Вес: 13 г.
";150,00;100,00;6;6;"Аксессуары Fenix";http://avantmarket.com/wa-data/public/shop/products/20/12/1220/images/4704/4704.750x0.jpg
AOD-SOR;"Диффузионный фильтр PD31/PD32 красный Fenix";http://avantmarket.com/diffuzionnyj-filtr-pd31pd32-krasnyj-fenix;"Насадка красного цвета. Сохраняет сумрачное зрение. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями PD31, PD32, E25, E35";"Насадка красного цвета. Сохраняет сумрачное зрение. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями PD31, PD32, E25, E35
Размер: 93.5мм (длина) х 27.7мм (диаметр)
Вес: 13 г.
";150,00;100,00;11;11;"Аксессуары Fenix";http://avantmarket.com/wa-data/public/shop/products/21/12/1221/images/4705/4705.750x0.jpg
AOD-L;"Диффузионный фильтр TK40, TK41, TK50, TK60 белый Fenix";http://avantmarket.com/diffuzionnyj-filtr-tk40-tk41-tk60-belyj-fenix;"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для серии ТК выполняет функцию рассеивания света. Совместим с фонарями ТК40, ТК41, TK50, ТК60";"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для серии ТК выполняет функцию рассеивания света. Совместим с фонарями ТК40, ТК41, TK50, ТК60
Размер: длина - 55 мм, диаметр - 66.2 мм
Вес: 26 гр.";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/49/12/1249/images/4782/4782.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/12/1249/images/4783/4783.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/12/1249/images/4784/4784.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/12/1249/images/4785/4785.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/49/12/1249/images/4791/4791.750x0.jpg"
AD101-R;"Диффузионный фильтр  красный Fenix";http://avantmarket.com/1738;"Насадка красного цвета. Сохраняет сумрачное зрение. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями LD10, LD12, LD20, LD22, PD10, PD20, PD22, PD30";"Насадка красного цвета. Сохраняет сумрачное зрение. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Подходит для фонарей с диаметром 24 мм, выполняет функцию рассеивания света. Совместим с фонарями LD10, LD12, LD20, LD22, PD10, PD20, PD22, PD30
 
";150,00;100,00;11;11;"Аксессуары Fenix";http://avantmarket.com/wa-data/public/shop/products/38/17/1738/images/6039/6039.750x0.jpg
AOD-M;"Диффузионный фильтр AOD-M";http://avantmarket.com/diffuzionnyj-filtr-aod-m;"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Ввыполняет функцию рассеивания света. Совместим с фонарями TK10, TK11, TK12, TK15, TK20, TK21, TK22, E40, E50, RC10, RC15";"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Ввыполняет функцию рассеивания света. Совместим с фонарями TK10, TK11, TK12, TK15, TK20, TK21, TK22, E40, E50, RC10, RC15";150,00;105,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/58/17/1758/images/6285/6285.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/17/1758/images/6286/6286.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/17/1758/images/6287/6287.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/17/1758/images/6288/6288.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/58/17/1758/images/6289/6289.750x0.jpg"
AOD-S;"Диффузионный фильтр AOD-S";http://avantmarket.com/diffuzionnyj-filtr-aod-s;"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Ввыполняет функцию рассеивания света. 
Совместим с фонарями P1D, P2D, P3D, PD10, PD20, PD22, PD30, PD31, PD32, L1T, L1R, L2P, L1S, L2S, L2T, L1D, L2D, LD10, LD12, LD20, LD22, LD25, E20, E21, E25, E35";"Применяется для чтения в темноте, в качестве кемпингового света или аварийного маячка. Выполнен из пластика PC 2805, обладающего высокой ударопрочностью и стойкостью к тепловому излучению. Ввыполняет функцию рассеивания света. 
Совместим с фонарями P1D, P2D, P3D, PD10, PD20, PD22, PD30, PD31, PD32, L1T, L1R, L2P, L1S, L2S, L2T, L1D, L2D, LD10, LD12, LD20, LD22, LD25, E20, E21, E25, E35";150,00;105,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/59/17/1759/images/6290/6290.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/17/1759/images/6291/6291.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/17/1759/images/6292/6292.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/17/1759/images/6293/6293.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/59/17/1759/images/6294/6294.750x0.jpg"
AER-TK75;"Секция корпуса с батарейной кассетой AER-TK75 (для фонаря Fenix ТК75)";http://avantmarket.com/sekcija-korpusa-s-batarejnoj-kassetoj-aer-tk75-dlja-fonarja-fenix-tk75;"Дополнительная секция корпуса для фонаря Fenix TK75 вместе с батарейной кассетой, вмещающей 4 аккумулятора 18650. Предназначена для увеличения времени работы фонаря.   ";"Дополнительная секция корпуса для фонаря Fenix TK75 вместе с батарейной кассетой, вмещающей 4 аккумулятора 18650. Предназначена для увеличения времени работы фонаря.   Время работы фонаря Fenix ТК75 может быть увеличено с помощью добавления секций корпуса, которые поставляются в комплекте с батарейной кассетой. Одновременно можно добавлять несколько секций, при этом время работы фонаря будет увеличиваться с каждой секцией. Не рекомендуется использовать более 3-х секций корпуса с одним фонарем. Характеристики: Размер: 100 мм (длина) х 52 мм (диаметр) Вес: 153 г (без элементов питания)";1300,00;1000,00;1;1;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/76/17/1776/images/6352/6352.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/76/17/1776/images/6353/6353.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/76/17/1776/images/6354/6354.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/76/17/1776/images/6355/6355.750x0.jpg"
AOT-L;"Сигнальный жезл Fenix AOT-L";http://avantmarket.com/signalnyy-zhezl-fenix-aot-l;"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix.
Совместимость: Fenix E40, E50, LD41, TK22, RC15.";"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix. Совместимость: Fenix E40, E50, LD41, TK22, RC15.
";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/90/20/2090/images/7130/7130.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/90/20/2090/images/7131/7131.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/90/20/2090/images/7132/7132.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/90/20/2090/images/7133/7133.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/90/20/2090/images/7134/7134.750x0.jpg"
AOT-M;"Сигнальный жезл Fenix AOT-M";http://avantmarket.com/signalnyy-zhezl-fenix-aot-m;"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix.
Совместимость: Fenix TK11, TK15, RC10.";"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix. Совместимость: Fenix TK11, TK15, RC10.
";0,00;0,00;0;0;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/88/20/2088/images/7120/7120.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/88/20/2088/images/7121/7121.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/88/20/2088/images/7122/7122.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/88/20/2088/images/7123/7123.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/88/20/2088/images/7124/7124.750x0.jpg"
AOT-S;"Сигнальный жезл Fenix AOT-S";http://avantmarket.com/signalnyy-zhezl-fenix-aot-s;"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix.
Совместимость: Fenix LD10, LD20, L12, L22, PD22, PD20, PD30, P35.";"Рассеивающая свет непрозрачная насадка красного цвета. Используется в качестве сигнального жезла совместно с фонарями Fenix. Совместимость: Fenix LD10, LD20, L12, L22, PD22, PD20, PD30, P35.
";200,00;140,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/89/20/2089/images/7125/7125.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/89/20/2089/images/7126/7126.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/89/20/2089/images/7127/7127.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/89/20/2089/images/7128/7128.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/89/20/2089/images/7129/7129.750x0.jpg"
AOF-Lgr;"Фильтр Fenix AOF-L зеленый";http://avantmarket.com/filtr-fenix-aof-l-zelenyy;"Окрашивает свет в зеленый цветСохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";"Окрашивает свет в зеленый цвет Сохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/86/20/2086/images/7116/7116.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/86/20/2086/images/7117/7117.750x0.jpg"
AOF-Lred;"Фильтр Fenix AOF-L красный";http://avantmarket.com/filtr-fenix-aof-l-krasnyy;"Окрашивает свет в красный цветСохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";"Окрашивает свет в красный цвет Сохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/87/20/2087/images/7118/7118.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/87/20/2087/images/7119/7119.750x0.jpg"
AOF-Lblue;"Фильтр Fenix AOF-L синий";http://avantmarket.com/filtr-fenix-aof-l-siniy;"Окрашивает свет в синий цветСохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";"Окрашивает свет в синий цвет Сохраняет сумеречное зрение Совместим E40/E50/LD41/TK22/RC15.";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/85/20/2085/images/7114/7114.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/85/20/2085/images/7115/7115.750x0.jpg"
AD302-B;"Фильтр TK Fenix синий ";http://avantmarket.com/filtr-tk-fenix-siniy;"Окрашивает свет в синий цветСохраняет сумеречное зрение Совместим T1, TK10, TK11, TK12, TK15..";"Окрашивает свет в синий цвет Сохраняет сумеречное зрение Совместим T1, TK10, TK11, TK12, TK15.
";250,00;150,00;11;11;"Аксессуары Fenix";"http://avantmarket.com/wa-data/public/shop/products/95/18/1895/images/6699/6699.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/95/18/1895/images/6700/6700.750x0.jpg"
AD302-G;"Фильтр TK Fenix зеленый";http://avantmarket.com/filtr-tk-fenix-zelenyy;"Окрашивает свет в зеленый цветСохраняет сумеречное зрение Совместим T1, TK10, TK11, TK12, TK15..";"Окрашивает свет в зеленый цвет Сохраняет сумеречное зрение Совместим T1, TK10, TK11, TK12, TK15.";250,00;150,00;11;11;"Аксессуары Fenix";http://avantmarket.com/wa-data/public/shop/products/97/18/1897/images/6705/6705.750x0.jpg
FilterW151;"Фильтры Ferei Glass Filter Kit W151 F";http://avantmarket.com/filtry-ferei-glass-filter-kit-w151-f;"Набор из двух фильтров для фонарей Ferei W151 и W152.";"Набор из для фонарей Ferei W151 и W152 состоящий из двух фильтров: желтого и диффузорного.  Размеры: 42mm x 4mm";260,00;179,00;11;11;"Аксессуары Ferei";"http://avantmarket.com/wa-data/public/shop/products/87/21/2187/images/7834/7834.750x0.jpg , http://avantmarket.com/wa-data/public/shop/products/87/21/2187/images/7835/7835.750x0.jpg"
